Código;Código alternativo;Nombre;Marca
90033505;1600A02RN3;KIT 2 BATERIAS X 2 A.h + CARGADOR GAL 18V-20(2A);BOSCH
21282861;1600A015TE;KIT 2 BATERIAS X 4 Ah + CARGADOR RAPIDO 8A         (STARTER KIT 18V 4 Ah);BOSCH
4119905;31903/ 65295                       ;KIT 2 UNIDADES FILTRO 2097 P100 SERIE 2000                ;3M
88881149;10217437;KIT 24 ADVANTAGE 200 + 25 PARES FILTROS N95        (INCLUYE RETEN Y SOPORTE);MSA
99951011;IKST7;KIT 3 PINZAS Y 5 DESTORNILLADORES P/ELECTRICISTA;FLUKE
99882486;TER-SPB300;KIT 300 TERMINALES PREAISLADOS SPB-300;BRINNA
99985844;;KIT 3D;
70104805;368-914;KIT 4 MICROMETRO INTERNO 50-100MM+2 ANILLOS;MITUTOYO
42391503;9980992;KIT 5 CEPILLOS ALAMBRE CIRCULARES 25 38 50 53 75MM;CROSSMASTER
50002031;KITCOMP5PZAS;KIT 5 PIEZAS PARA COMPRESOR MAGUERA, MEDIDOR,      3 PISTOLAS TORQUE;TORQUE
80014092;;KIT 800 TERMINALES PUNT HUECA TUBULAR TIFF AISLADA;
75027376;017708;KIT ABRAZADERA PARA CASCO (68085);STREAMLIGHT
75021410;420;KIT ABSORBENTE P/HIDROCARBUROS;NEW PIG
84445543;AA-5000K;KIT ACCESORIOS DE 5 PIEZAS PARA COMPRESOR;LUSQTOFF
75025931;;Kit ACCESORIOS MINI TORNO G19507AC;
45901548;903793;KIT ADAPTADOR PARA CASCO STRONG WELDER             (NO INCLUYE MASCARA);LIBUS
49955022;1 607 000 027;KIT AGUJAS 19 UNIDADES;BOSCH
75024549;TER-AH47;"KIT AH47 DE 120 TERMINALES PREAISLADOS ROJOS; AZUL AMARILLOS P/CABLES ELECTRICOS C/GAVETERO ORGANIZAD";
75013833;KT1302;KIT AMBIENTAL EN BOLSO DE VINILO MEDIANO;ECOWAY
80012232;KT0123;KIT AMBIENTAL PREMIUM C/CONTENEDOR DE 120LTS;ECOWAY
90020525;;KIT ANTIDERRAME C/3 BOLSAS DIATOMEA DE 10KGS/5 BAR RERAS DE 1.5MTS, 5 ALMOHADILLAS 22X45Y 10 PAÑOS DE;H&C
75014846;KT1301;KIT ANTIDERRAME PARA HIDROCARBUROS - KT1301;ECOWAY
80010061;KT0125;KIT ANTIDERRAME PREMIUM EN CONTENEDOR DE 120 LTS;ECOWAY
70102299;KB0120;KIT ANTIDERRAMES PARA 120 LITROS - KB0120;ECOWAY
80014107;KT0121;KIT ANTIDERRAMES PREMIUM PARA 120 LITROS;ECOWAY
90024679;1211110;KIT ARC 601;ESAB
75023447;AREA LIMPIA 2;KIT AREA LIMPIA 2, TACHO AMARILLO 18 KG DE FIBRA   2 CORDONES, 2 BOLSAS, 2 PRECINTO Y GUANTE NITRILO;CRUNCH OIL
75027068;;KIT AREA LIMPIA QUIMICOS;CRUNCH OIL
75013641;KIT AREA LIMPIA 1;KIT AREA LIMPIA TACHO AMARILLO+18 KG FIBRA SUELTA  +2 CORDONES+TACHO ROJO+2 BOLSAS RESIDUO+PRECINTO;CRUNCH OIL
80013265;1205987;KIT ARISTO MIG 5000i;ESAB
70010966;0656-0001;KIT ARRESTALLAMA -OXIGENO +FLAMAL;VICTOR
107766;107766;KIT BIDON DE PLASTICO X 5 LTS PARA TRANSFERENCIA   DE LUBRICANTES CON TAPAS Y BOMBA MANUAL;
90025154;ELE-2000;KIT BLOQUEADOR DE BOTON PULSADOR 22 A 38 MM;BLOOK
75014004;KB02;KIT BLOQUEO C/TRABAS A 90º MODELO KB02;SERVUS
75014003;KB01;KIT BLOQUEO CON TRABAS RECTAS MODELO KB01;SERVUS
